@relation HandActions

@attribute PlayerAction {f,k,c,b1,b2,b3}
@attribute PotSize numeric
@attribute BetCountActingPlayer numeric
@attribute BetCountObservingPlayer numeric
@attribute LastActionActingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute LastActionObservingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute ActingPlayerOnButton {true,false}
@attribute FaceCards numeric
@attribute DeckSuited numeric
@attribute DeckConnectors numeric
@attribute GameStage {pf,fp,tn,rv}
@attribute TotalActionCount numeric

@data
k,14,0,1,k,k,false,1,3,3,tn,1
k,14,0,1,k,k,false,2,3,3,rv,1
b1,108,3,1,b2,k,true,1,2,0,fp,4
f,375,3,2,b1,b2,true,1,2,0,fp,5
b1,14,1,1,c2,b2,false,2,2,0,fp,2
b2,30,2,1,b1,c2,false,2,2,0,tn,3
k,12,1,0,b2,k,true,0,2,0,fp,1
c,21,1,1,k,b2,true,0,2,0,tn,2
c,41,1,2,c2,b1,true,1,3,0,rv,3
k,12,1,0,b2,k,true,1,2,0,fp,1
b2,12,2,0,k,k,true,1,2,0,tn,2
b1,14,1,1,c2,b2,false,2,1,0,fp,2
k,4,0,0,k,k,false,0,2,0,fp,0
b2,4,1,0,k,k,false,0,2,0,tn,1
b1,10,2,0,b2,c2,false,0,3,0,rv,2
k,44,1,1,c2,k,true,2,1,0,fp,2
k,44,1,1,k,k,true,3,2,3,tn,2
f,53,1,2,k,b1,true,4,2,4,rv,3
k,14,0,1,c2,b2,false,0,3,0,fp,1
b1,26,1,2,k,b2,false,0,3,0,fp,3
b1,12,2,0,b2,k,true,2,1,2,fp,2
k,14,0,1,c2,b2,false,1,1,0,fp,1
b1,14,1,1,k,k,false,1,2,0,tn,2
k,32,1,1,b1,c2,false,1,3,2,rv,2
k,4,0,0,k,k,true,1,2,0,fp,0
k,4,0,0,k,k,true,2,2,0,tn,0
k,4,0,0,k,k,true,2,2,0,rv,0
k,4,0,0,k,k,false,2,1,0,fp,0
k,4,0,0,k,k,false,2,2,0,tn,0
