@relation HandStrength

@attribute HandStrength numeric
@attribute PotSize numeric
@attribute BetCountOpponent numeric
@attribute BetCountPlayer numeric
@attribute OpponentOnButton {true,false}
@attribute LastActionOpponent {f,k,c,b1,b2,b3}
@attribute LastActionPlayer {f,k,c,b1,b2,b3}
@attribute DeckStrength numeric
@attribute DeckPaired {true,false}
@attribute DeckSuited numeric

@data
34106368,12,1,0,false,?,k,17353280,false,1
17091440,14,1,0,false,?,k,17090320,false,1
17353328,22,1,1,true,?,k,17331472,false,1
84501264,174,3,1,false,?,k,619280,false,1
17143648,32,2,0,false,?,k,619808,false,1
17282368,17,0,2,false,?,k,750915,false,1
17021248,12,0,2,false,?,k,606992,false,1
17593664,99,2,2,true,?,b1,807968,false,1
17418336,12,1,0,false,?,k,17400848,false,1
17331792,153,2,2,true,?,k,554273,false,1
834165,14,1,1,false,?,k,829217,false,1
34248448,12,1,1,true,?,b1,17409280,false,1
17279072,36,1,1,false,?,c,689953,false,1
17288096,6,0,1,false,?,k,833909,false,1
833926,4,0,0,false,?,k,824848,false,1
34311168,12,0,1,false,?,k,17353536,false,1
67895296,310,2,3,true,?,k,833920,false,1
34167552,6,0,1,false,?,k,17152368,false,1
84715347,39,1,2,false,?,c,829251,false,1
17213808,14,1,1,false,?,k,17208352,false,1
17331776,24,2,0,false,?,b2,554563,false,1
17418064,36,2,0,false,?,k,824626,false,1
17287264,22,1,1,true,?,k,554576,false,1
17537104,36,2,0,false,?,k,754994,false,1
17606480,8,1,0,false,?,k,17605952,false,1
33819648,28,2,0,false,?,b2,17052160,false,1
84580402,71,2,1,false,?,k,16951392,false,1
117489664,483,4,1,false,?,b1,50372864,false,1
16960400,6,0,1,false,?,k,759072,false,1
51038976,24,2,0,false,?,b1,51037696,false,1
33896448,36,1,1,false,?,k,17008208,false,1
33692672,14,1,1,false,?,k,16960416,false,1
16951680,10,1,0,false,?,k,694338,false,1
33962752,8,0,1,false,?,k,17020448,false,1
17082720,10,1,0,false,?,k,693840,false,1
34223872,14,1,1,false,?,k,17454128,false,1
833910,14,1,0,false,?,k,833091,false,1
17479776,14,1,1,false,?,k,763474,false,1
33958400,36,2,0,false,?,b2,16950832,false,1
16959824,40,2,0,false,?,b2,824609,false,1
33888512,10,1,0,false,?,k,17143824,false,1
33888768,66,0,3,true,?,k,676897,false,1
16960144,14,0,2,false,?,k,16959296,false,1
759380,10,1,0,false,?,k,759345,false,1
763749,36,2,0,false,?,k,685651,false,1
685651,4,0,0,false,?,k,681248,false,1
17021504,10,1,0,false,?,k,17019920,false,1
17471568,24,2,0,false,?,k,17466672,false,1
17344080,12,1,0,false,?,k,689748,false,1
17288016,26,0,2,true,?,k,17286464,false,1
829268,24,1,1,false,?,k,816176,false,1
829813,20,1,2,true,?,b1,829808,false,1
17217856,72,2,1,false,?,k,17208064,false,1
51164160,108,1,3,false,?,c,17609488,false,1
17549408,29,2,1,false,?,k,820818,false,1
34310656,8,0,1,false,?,c,17541232,false,1
554579,36,1,1,false,?,c,484129,false,1
17156960,29,2,1,false,?,k,746817,false,1
34228480,12,1,0,false,?,k,17470784,false,1
33966848,72,0,3,true,?,k,763748,false,1
17532496,48,0,3,true,?,k,17531664,false,1
17414240,66,1,2,true,?,k,759312,false,1
34355968,29,2,1,false,?,k,33762304,false,1
17537136,19,1,1,true,?,k,759922,false,1
17217648,38,1,2,false,?,c,554529,false,1
34387200,29,2,1,true,?,b1,17609984,false,1
17331760,26,2,0,false,?,k,553761,false,1
17216832,216,3,1,false,?,c,17187600,false,1
101040128,32,1,2,true,?,b1,17602384,false,1
17353584,70,3,0,false,?,b2,821057,false,1
84440658,7,0,1,true,?,k,84440658,false,1
67371008,48,3,0,false,?,b1,410401,false,1
100700160,10,1,0,false,?,b2,34145536,false,1
694373,8,1,0,false,?,k,694321,false,1
833910,24,2,0,false,?,b2,833892,false,1
764292,12,1,0,false,?,k,758834,false,1
16828800,12,1,0,false,?,k,16811584,false,1
17283408,54,0,3,true,?,k,759616,false,1
759891,48,3,0,false,?,b1,754464,false,1
34212864,24,1,1,false,?,c,34210304,false,1
33897472,171,2,3,false,?,k,17024848,false,1
51165696,12,1,0,false,?,k,17611280,false,1
17217920,8,1,0,false,?,k,755552,false,1
33830144,26,1,2,true,?,k,17052160,false,1
34281216,12,1,0,false,?,b2,16889648,false,1
16881776,162,1,3,false,?,c,16881200,false,1
34228480,17,0,2,true,?,k,17082752,false,1
67895296,70,1,2,true,?,k,834198,false,1
16894064,10,1,0,false,?,k,820545,false,1
34179840,34,2,0,false,?,k,17344816,false,1
33757952,12,0,2,true,?,k,16880416,false,1
17541504,17,0,2,false,?,k,17532432,false,1
33623040,18,0,2,true,?,k,16894272,false,1
33758208,198,3,1,false,?,b2,811809,false,1
694117,36,0,3,true,?,k,694098,false,1
34040576,14,1,0,false,?,k,17217824,false,1
34104576,44,1,2,false,?,c,17204496,false,1
34310656,72,0,3,true,?,k,34093568,false,1
84719648,165,2,2,true,?,k,17609216,false,1
764260,105,1,3,false,?,k,759361,false,1
16894592,51,2,1,false,?,k,16894016,false,1
833652,14,1,0,false,?,k,820273,false,1
820819,18,0,2,true,?,k,820496,false,1
17549920,18,0,2,true,?,k,834146,false,1
833363,12,1,0,false,?,k,816434,false,1
33970432,8,1,0,false,?,b1,17143360,false,1
34216960,70,2,1,false,?,k,34216704,false,1
829012,7,0,1,true,?,k,681009,false,1
34166272,8,1,0,false,?,k,17392912,false,1
51165696,193,1,3,true,?,b2,17611280,false,1
17611408,14,1,1,false,?,k,17606400,false,1
34224896,17,1,1,false,?,k,17479200,false,1
84710704,70,2,1,true,?,k,832816,false,1
829796,19,1,1,false,?,k,824370,false,1
34286080,26,2,0,false,?,b2,16955984,false,1
17344080,16,0,2,true,?,k,550177,false,1
34176000,38,2,0,false,?,k,17413904,false,1
16959312,7,0,1,true,?,k,816417,false,1
17155904,29,2,1,false,?,k,807984,false,1
84710961,48,2,1,false,?,b1,825187,false,1
834166,24,2,0,false,?,b1,834129,false,1
17549152,14,1,1,false,?,k,17527568,false,1
834148,12,0,1,false,?,k,812065,false,1
17288080,4,0,0,false,?,k,17287968,false,1
17082208,72,1,2,false,?,k,17065232,false,1
17082480,14,1,1,false,?,k,689984,false,1
34301184,14,1,1,false,?,k,17524032,false,1
821093,14,1,1,false,?,k,554290,false,1
33892608,19,1,1,false,?,k,16946688,false,1
690020,48,1,2,false,?,c,685088,false,1
34106368,128,1,3,false,?,k,17352256,false,1
17155648,8,1,0,false,?,k,17154832,false,1
