@relation HandActions

@attribute PlayerAction {f,k,c,b1,b2,b3}
@attribute PotSize numeric
@attribute BetCountOpponent numeric
@attribute BetCountPlayer numeric
@attribute OpponentOnButton {true,false}
@attribute LastActionOpponent {f,k,c,b1,b2,b3}
@attribute LastActionPlayer {f,k,c,b1,b2,b3}
@attribute DeckStrength numeric
@attribute DeckPaired {true,false}
@attribute DeckSuited numeric
@attribute GameStage {pf,fp,tn,rv}

@data
b2,14,1,1,true,b2,c,798976,false,1,fp
b3,60,2,1,true,c,b2,16892672,false,1,tn
c,3,0,0,false,?,?,0,false,1,pf
b2,4,1,0,false,k,c,742400,false,1,fp
c,7,0,1,true,b2,?,0,false,1,pf
b2,10,1,1,true,b2,c,824064,false,1,fp
k,42,1,1,true,c,b2,829744,false,1,tn
k,42,1,1,true,k,k,834195,false,1,rv
f,77,1,2,true,b2,k,834195,false,1,rv
c,3,0,0,false,?,?,0,false,1,pf
b2,4,1,0,false,k,c,17530880,false,1,fp
k,4,0,0,true,c,?,0,false,1,pf
b2,4,1,0,true,c,k,484608,false,1,fp
c,3,0,0,false,?,?,0,false,1,pf
c,10,0,1,false,b2,c,0,false,1,pf
f,31,0,2,false,b2,c,688128,false,1,fp
c,9,0,1,true,b2,?,0,false,1,pf
b2,14,1,1,true,b2,c,742400,false,1,fp
c,3,0,0,false,?,?,0,false,1,pf
b2,4,1,0,false,k,c,832512,false,1,fp
c,9,0,1,true,b2,?,0,false,1,pf
b2,14,1,1,true,b2,c,819712,false,1,fp
c,3,0,0,false,?,?,0,false,1,pf
b2,4,1,0,false,k,c,602112,false,1,fp
k,16,1,0,false,k,b2,602624,false,1,tn
k,16,1,0,false,k,k,602640,false,1,rv
c,9,0,1,true,b2,?,0,false,1,pf
b2,14,1,1,true,b2,c,741632,false,1,fp
c,3,0,0,false,?,?,0,false,1,pf
b2,4,1,0,false,k,c,17240064,false,1,fp
c,9,0,1,true,b2,?,0,false,1,pf
b2,14,1,1,true,b2,c,819456,false,1,fp
b1,60,2,1,true,c,b2,820752,false,1,tn
b2,72,3,1,true,c,b1,821089,false,1,rv
c,3,0,0,false,?,?,0,false,1,pf
b2,4,1,0,false,k,c,794624,false,1,fp
c,9,0,1,true,b2,?,0,false,1,pf
b2,14,1,1,true,b2,c,676608,false,1,fp
k,60,1,1,true,c,b2,676624,false,1,tn
c,92,1,2,true,b1,k,676624,false,1,tn
k,124,1,2,true,b1,c,693553,false,1,rv
c,171,1,3,true,b1,k,693553,false,1,rv
c,3,0,0,false,?,?,0,false,1,pf
b2,4,1,0,false,k,c,829696,false,1,fp
c,9,0,1,true,b2,?,0,false,1,pf
b2,14,1,1,true,b2,c,405760,false,1,fp
c,3,0,0,false,?,?,0,false,1,pf
b2,4,1,0,false,k,c,746752,false,1,fp
c,9,0,1,true,b2,?,0,false,1,pf
b2,14,1,1,true,b2,c,545792,false,1,fp
k,60,1,1,true,c,b2,545792,false,1,tn
