@relation HandActions

@attribute PlayerAction {f,k,c,b1,b2,b3}
@attribute PotSize numeric
@attribute BetCountActingPlayer numeric
@attribute BetCountObservingPlayer numeric
@attribute LastActionActingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute LastActionObservingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute ActingPlayerOnButton {true,false}
@attribute FaceCards numeric
@attribute DeckSuited numeric
@attribute DeckConnectors numeric
@attribute GameStage {pf,fp,tn,rv}
@attribute TotalActionCount numeric

@data
k,4,0,0,k,k,false,2,1,2,tn,0
f,8,0,1,k,b2,false,2,1,2,tn,1
k,12,0,1,c2,b2,false,1,2,2,fp,1
k,12,0,1,k,k,false,2,3,2,tn,1
c,24,0,2,k,b2,false,2,3,2,tn,2
k,36,0,2,c2,b2,false,2,3,2,rv,2
f,54,0,3,k,b1,false,2,3,2,rv,3
k,4,0,0,k,k,true,2,1,2,fp,0
k,4,0,0,k,k,true,3,2,3,tn,0
b2,4,1,0,k,k,true,3,2,3,rv,1
b2,14,2,0,b2,c2,false,0,1,0,fp,2
f,54,1,2,c2,b1,true,1,1,0,fp,3
k,4,0,0,k,k,false,0,2,2,fp,0
k,4,0,0,k,k,false,0,2,2,tn,0
b1,4,1,0,k,k,false,0,3,2,rv,1
k,4,0,0,k,k,true,3,3,2,fp,0
k,4,0,0,k,k,true,3,3,2,tn,0
f,8,0,1,k,b2,true,3,3,2,rv,1
k,4,0,0,k,k,false,1,2,0,fp,0
f,6,0,1,k,b1,false,1,2,0,fp,1
k,4,0,0,k,k,true,1,2,0,fp,0
k,4,0,0,k,k,true,1,3,0,tn,0
c,8,0,1,k,b2,true,1,3,2,rv,1
k,4,0,0,k,k,true,3,2,2,fp,0
k,4,0,0,k,k,true,4,2,2,tn,0
k,4,0,0,k,k,true,4,3,2,rv,0
k,4,0,0,k,k,true,2,1,2,fp,0
k,4,0,0,k,k,true,3,2,3,tn,0
k,4,0,0,k,k,true,3,2,3,rv,0
k,10,1,0,b2,k,true,2,2,0,fp,1
k,10,1,0,k,k,true,2,2,0,tn,1
b2,10,2,0,k,k,true,3,2,0,rv,2
k,4,0,0,k,k,false,0,2,2,fp,0
