@relation HandStrength

@attribute HandStrength numeric
@attribute PotSize numeric
@attribute ActionCount numeric
@attribute DeckStrength numeric

@data
33757696,24,9,16998656
16828800,8,9,820000
17288096,50,10,829284
34040320,36,10,17213776
17353536,38,10,833584
34224896,32,10,17479168
84715570,800,10,17326880
34102272,38,10,17340240
34366720,48,11,34365696
16942672,12,10,545568
17479760,12,9,17465856
84719441,34,11,816449
17610320,126,10,832801
834198,8,9,833893
33688320,144,11,16954880
34236672,30,10,17471488
33962752,88,11,759379
67502080,24,11,17065264
17283728,34,10,17278208
33692160,24,9,16886048
50382848,800,11,16811024
764293,144,12,694356
101126144,8,9,50802944
34301952,48,10,17528320
34174976,800,10,17268992
16894016,4,9,820257
17418352,40,10,17418048
84579632,72,11,619824
17287232,20,10,821059
759923,36,10,759600
16959552,16,9,541200
17021040,12,9,755539
100929536,34,10,50602240
34167296,24,9,17392928
764292,24,9,758833
17483872,38,10,829506
17087120,4,9,764244
17222288,12,10,17213824
17222256,12,10,17213216
50513664,26,10,50491392
34032640,72,10,17069616
17016944,800,11,17008192
16960096,10,9,828977
829541,14,9,689458
84645985,152,11,694337
16947296,14,9,624177
17549936,50,9,17527824
17156976,10,9,17151760
829813,44,10,685328
759908,72,11,755250
17344880,800,9,17343248
34026496,800,11,17248512
17353328,102,10,821089
34307072,166,10,834161
34297600,32,11,34296576
34343680,108,12,834096
34235648,184,10,17212688
17419168,36,11,833875
17152656,42,9,759889
17353616,98,10,825408
17532752,16,9,17527040
34216960,36,10,828176
17025680,216,11,829490
34167296,72,11,693841
84440368,170,12,554304
17148288,38,10,694352
17353616,12,10,17353536
834149,14,9,828721
34314240,96,11,17537072
17470784,24,11,693569
34101760,38,10,17339984
16815920,12,9,471568
34215680,148,13,16871936
33762304,10,10,17024032
829558,4,9,690018
16885600,14,9,685601
33622272,16,9,16815136
17479520,72,11,17462816
17537072,12,10,17535776
33621504,34,10,406032
17349264,14,9,17347840
17086544,28,10,545842
34081792,24,11,16828512
16828256,4,9,16807488
33961216,100,10,16998912
620116,4,9,620098
17349232,24,9,763969
16959872,36,10,16959808
17409072,112,10,672545
17274432,216,9,620082
825460,38,10,554000
17217648,8,10,17205008
34343168,8,10,17596928
16894304,4,9,824625
34313984,214,11,17397056
33754112,26,10,17012480
17286736,16,10,816721
34237440,26,10,17483616
67436544,36,10,545825
33761536,72,11,619296
17484672,12,10,17483872
17283456,24,9,759650
101195776,800,11,16942080
34162432,8,9,17397056
34085888,8,9,16894848
17418320,18,9,825428
833875,10,9,758544
17156704,24,10,828739
17353328,54,10,829488
17283456,38,10,759921
34146304,36,9,17401408
34085376,16,10,17327376
17288032,10,9,17286432
100679680,48,10,50374400
33900800,800,13,623936
16959840,10,10,823824
17532496,292,12,550192
34163456,48,12,34161152
34180096,24,10,17339168
33822464,36,10,16872496
34040832,24,10,17221408
17288096,16,9,17287744
34212608,26,10,17479168
17611392,24,10,834177
17286736,72,10,484658
17082736,32,10,694082
17348448,72,11,755557
33885184,18,11,16829008
16816224,8,10,549392
16955776,26,10,759840
17611408,10,9,17610016
33758208,38,10,17024288
34110464,42,10,17353264
67698688,36,9,624483
34237440,36,10,17457664
16886128,14,9,694113
825462,800,13,825443
34245632,48,11,34242816
34229248,216,13,829248
34031616,26,10,17269776
17082720,12,9,17080848
17090944,24,10,17073664
17078384,36,10,624433
33950720,26,10,17216768
34231808,16,9,17458192
34089728,162,12,16954896
17091376,4,9,17089280
17353360,40,10,17344784
34309632,90,10,17348144
834149,10,10,829012
17418064,108,11,824624
17484688,10,10,17484128
34092800,34,10,17314304
17353584,48,10,17353488
17283680,16,9,763749
16829280,72,11,16827936
16820576,10,10,693824
833859,8,10,824336
17021584,26,10,17019408
33888000,24,9,16872736
33827840,36,10,16960064
829813,4,9,824642
17025952,28,9,17016672
67502080,36,11,820820
100843520,108,9,50511872
17025392,18,9,825171
34033920,66,11,33883904
17130544,42,10,344848
34036736,12,9,17282368
33692672,24,10,16893984
17484688,32,9,834197
17528384,24,9,17514752
84579922,108,10,16946704
50972672,36,10,50954752
16889936,26,10,16876864
16960368,288,13,16959248
16894864,8,9,833921
17598304,66,10,821091
17221408,24,10,483856
17414784,4,9,764292
34166528,12,9,17078096
833909,12,9,759633
34216960,10,9,17479440
17483872,8,9,829536
33827584,8,9,17086240
17607040,80,11,829829
34363904,16,9,17605952
33688576,38,10,16827680
833381,14,9,750881
33884672,8,10,33884672
16894784,14,9,16888576
16960144,4,9,825154
34284544,16,10,16954384
17279328,4,9,17274112
67633152,108,9,554307
17017216,48,10,17012240
67895296,800,13,829523
34383872,12,10,17483776
34170112,36,10,17392672
16954688,800,12,16954624
34027776,124,12,17261344
34317568,54,9,17540384
34015488,192,10,16806688
17401680,214,10,619809
829814,108,9,829249
17274400,72,11,17274368
34176000,14,9,34176000
17549152,48,11,17548576
825445,24,10,615746
16947296,32,11,624160
34358784,36,9,17090080
67698688,34,11,17340240
17353632,8,9,17349120
50898432,24,10,689712
33622272,8,10,16880640
33822720,48,11,16876592
17519392,12,9,17519120
764292,108,10,759824
34294272,12,9,17087104
17279360,24,10,624417
34212864,26,10,16829344
34359552,4,9,34359040
67502080,84,11,17130528
17157008,14,9,833873
34233088,36,10,17462544
67371008,86,12,16859904
17536048,36,10,17515280
833381,38,10,750912
17274432,8,10,484384
17549936,14,9,834162
16820320,24,10,16819792
17401680,182,12,623938
17086256,96,10,750368
33949952,70,11,16815968
17222560,28,10,833654
833654,14,9,755537
17021552,36,10,763715
17151840,10,9,484673
764292,68,11,754721
17410160,8,10,17409312
33827584,12,9,33826304
751187,324,10,742177
34301952,16,10,17532720
34146304,12,9,17400608
34292992,36,10,17085696
34151168,28,10,17412352
834198,50,10,763475
34023936,20,10,16951088
833859,4,9,758834
16885856,38,10,689168
17549680,30,9,833893
101363712,800,12,17549872
833347,24,10,816177
51165696,800,12,17610864
34019840,16,9,17278240
17288096,16,9,833380
833893,24,9,812336
17205072,8,9,554256
17157024,8,9,833618
34383104,40,10,34233344
17287808,216,11,690016
34039808,108,11,17270288
50571520,72,11,17017152
34089728,34,10,16956032
84580180,36,10,17409872
84720227,38,10,834147
17352544,24,9,821008
34372096,50,10,17287760
50567168,14,9,624195
34105600,58,12,17209408
34094080,50,10,17025056
50505728,108,10,16941312
764293,8,9,693552
84715843,76,11,17471024
17483600,800,13,816450
34375424,166,12,34367488
51034112,10,10,51020800
100814848,96,11,50500352
34304768,146,12,17527568
763475,72,11,746768
834149,26,10,829011
34170880,36,10,624481
17353616,48,11,17348928
829558,36,11,829250
84571169,96,12,17515024
51095808,648,12,17539328
17020768,12,9,751153
17484672,22,11,834181
17016656,24,10,17016064
689748,36,9,676896
17279056,26,10,689424
17410128,24,9,623937
17222256,12,10,816723
820820,48,9,414768
829811,24,10,829729
17484624,12,9,17478432
17025920,30,10,17020928
755539,108,11,554273
17081936,174,12,414768
17221680,26,10,811792
16960144,14,9,16958224
33888512,16,9,16881760
833618,10,9,820496
17151552,24,11,742416
33819392,24,9,17086560
17287552,16,9,17274896
34023936,10,9,17277456
17152656,24,10,759633
50505728,26,10,50496512
34163712,24,9,34163712
17602368,14,9,17593392
17339984,8,9,624209
33970944,26,10,17152288
829251,14,9,684832
33692160,8,9,16951312
17549424,16,9,833601
17283712,72,10,763986
16951680,4,9,694338
17397040,216,11,619792
16881712,34,10,623376
17152096,12,9,17151536
34294784,12,9,17549888
821076,12,9,820544
16824960,72,10,763986
829268,8,9,829266
34032128,34,10,34031616
50706944,72,11,17150976
759924,24,11,755521
17152048,8,9,754993
51024896,800,14,17470480
34290688,8,9,34290688
134545408,14,9,134545408
17279328,108,10,17261328
67895296,108,9,829553
50378752,144,11,16811872
17601568,62,10,824336
50836992,72,9,17261600
17484656,24,9,834162
34233088,72,10,17146656
17466912,50,10,689680
17279360,16,9,694388
17598272,16,11,17598240
34351872,12,9,17610016
34151168,72,10,16881712
50514432,324,12,828448
825445,16,9,623937
694066,14,9,693025
34089728,12,10,17348416
84720278,72,11,17091472
829831,24,10,829556
34236672,54,9,17213216
17288096,48,10,17283616
825172,26,10,619826
17213552,20,10,689728
763747,4,9,751152
34179584,32,10,17344864
17541232,96,11,755505
17352224,34,10,17326592
834183,800,11,821008
17348960,8,9,17348176
17484656,12,10,834165
51008256,12,9,51008256
17283680,14,10,763747
834198,14,9,834080
16894064,4,9,16893744
67305472,170,10,807713
34151424,54,9,16886048
16881776,50,9,624400
17217648,10,10,755555
17283664,18,11,750896
17147696,36,9,480016
17602640,32,12,825428
17156704,36,10,17156656
17353632,4,9,834179
17020736,14,10,750640
17410160,12,9,694389
17091440,20,10,833296
84576100,58,9,554560
34212864,34,10,16828976
16960128,10,9,829556
34368256,108,11,833634
34388224,800,10,833825
33962752,20,10,17216272
33892608,8,9,17143840
33827072,34,10,619842
17221680,216,11,17221664
16894320,24,10,16881472
17352512,142,11,816161
623938,144,10,610832
17288096,72,11,17283664
101421056,8,10,51095808
34294784,12,9,17548864
16829312,10,9,16829232
67764224,72,11,694114
17348448,20,10,17331712
17549696,42,10,833923
34290688,16,10,17548048
134414336,648,10,832560
100708352,800,12,17549824
67633152,24,10,554577
34226688,50,12,17080832
17152112,24,10,755489
34380544,54,9,17419056
33970688,12,10,17147456
16885312,12,10,680464
16960128,10,9,689474
67436544,16,9,67436544
17549920,42,11,17540656
33830400,16,9,414768
17091152,72,9,17091104
833910,10,9,824913
101023744,540,10,17352000
67764224,72,9,825462
33622016,50,10,16811296
34216960,8,9,17484560
17025392,32,10,619568
16960080,14,9,16950528
821076,12,10,480306
33691648,24,11,554529
34366208,72,12,17220112
17348944,96,11,759874
17479520,16,9,763731
17549952,34,10,834179
16885328,24,11,676913
67436544,16,9,16893232
17091472,10,10,824336
834197,8,9,833873
33958656,8,9,17216288
50370560,8,9,16816144
17148288,48,10,17143808
34032128,16,9,17274432
67764224,10,9,624482
84579648,12,9,693570
17331760,36,10,17331728
101392384,16,10,17510912
34380288,8,10,17607040
84698162,8,9,812064
16959856,8,9,619553
17078384,8,9,619843
34155520,4,9,17417760
84702528,104,12,480016
16824928,8,9,16819760
33884928,22,10,33882624
67895296,36,9,834193
34024448,184,11,829810
16820576,8,10,615472
764261,14,9,693844
34179840,4,9,17349264
17470752,34,11,693537
17086560,144,11,17065264
17213824,8,10,17204480
17348944,48,9,754992
623938,36,10,545808
17020768,24,9,17004048
51095296,48,12,17540928
34282496,34,10,17540112
17484128,12,9,829009
17021040,12,9,17008128
50968064,216,12,17413712
17148288,24,9,623905
34097920,24,10,17347584
34163456,10,10,34161408
34375936,50,10,17353040
16885840,36,10,16885792
17209168,24,9,620064
16885872,24,10,685072
33901312,44,10,17086576
17479968,12,9,764192
829831,8,9,829554
50513408,78,12,16934208
764261,216,10,764240
17089840,26,10,17060608
34302464,36,10,17540608
84505632,26,10,694048
33762304,12,10,17025568
764294,24,10,759329
34169856,24,10,34169856
17283632,108,11,763696
34289920,22,10,17021184
34298368,40,10,763184
17279296,100,11,694082
16955776,10,10,624482
17021536,16,9,16998656
34351360,10,9,824898
17483888,24,9,829284
690004,72,11,554307
17483344,72,11,828993
67764224,32,10,620113
17483072,16,9,17482512
34178560,800,12,17326880
17348976,36,10,17340240
17479712,16,9,17465856
17349232,4,9,17349232
67436544,24,9,344592
84710672,36,10,832801
834199,10,9,833893
118005760,34,10,50893312
33958656,48,11,16954880
17218192,12,9,764294
17288096,14,9,833906
34159360,648,13,758834
67633152,12,9,755556
16959056,96,11,16933904
34081280,278,11,16811024
17602400,38,10,825185
763715,10,10,750642
67567616,170,10,751188
833636,4,9,820257
34220288,160,12,16950016
554578,12,9,484624
17025904,16,9,17004096
16959840,8,10,823824
824916,12,9,812081
34146048,50,11,619824
17078304,38,10,541200
34233088,24,11,17152528
17479520,36,9,17479168
833653,14,9,755539
34248448,48,11,34248448
17218160,112,12,751154
17208640,24,10,17187072
33752576,16,10,16998912
17218192,24,10,759377
16956048,8,10,764244
17213824,40,10,17213824
67502080,90,11,16929840
34249728,36,10,17471280
84440368,498,13,17008384
50514176,62,10,50491392
34277888,10,10,34275840
17606992,70,11,829780
34372096,12,9,34363136
34085376,24,10,16886144
34093824,184,11,17008192
834182,34,10,828977
17279312,50,10,693537
829541,12,9,689458
51165696,24,9,51164928
33952512,32,10,16868096
17410160,198,11,694337
829796,14,9,812064
17353632,50,10,829520
17549632,38,10,832560
17283456,8,9,17283424
