@relation HandStrength

@attribute HandStrength numeric
@attribute PotSize numeric
@attribute BetCountOpponent numeric
@attribute BetCountPlayer numeric
@attribute OpponentOnButton {true,false}
@attribute LastActionOpponent {f,k,c,b1,b2,b3}
@attribute LastActionPlayer {f,k,c,b1,b2,b3}
@attribute DeckStrength numeric
@attribute DeckPaired {true,false}
@attribute DeckSuited numeric

@data
690003,800,2,2,false,?,c,684816,false,1
834182,800,1,2,false,?,c,833040,false,1
50379008,108,3,1,true,?,k,759632,false,1
17537136,96,0,4,false,?,c,759856,false,1
17536048,72,1,2,false,?,b2,758833,false,1
67371008,72,0,3,false,?,c,16990464,false,1
34019840,800,2,2,false,?,c,685584,false,1
17016944,48,1,2,false,?,b1,690004,false,1
17012576,24,0,2,false,?,k,620048,false,1
17209424,800,2,2,false,?,c,17209360,false,1
829558,24,0,2,false,?,k,685601,false,1
16824960,24,0,2,false,?,k,689456,false,1
17479504,800,2,2,false,?,k,763731,false,1
17091184,190,1,1,false,?,k,829249,false,1
834183,368,2,1,false,?,b1,690004,false,1
100896768,800,1,2,false,?,c,50579712,false,1
17484640,48,0,3,false,?,c,833107,false,1
17148224,800,2,2,false,?,k,676880,false,1
34223616,800,2,2,false,?,k,16885296,false,1
34355968,800,0,2,false,?,c,17020432,false,1
834178,24,0,2,false,?,k,762384,false,1
34085376,532,2,2,true,?,b1,688929,false,1
16960112,800,2,2,false,?,c,829217,false,1
67633152,800,2,2,false,?,b1,17139520,false,1
34015744,48,1,2,false,?,k,17279232,false,1
16820608,548,2,2,true,?,k,16815120,false,1
17152304,800,1,2,false,?,k,611104,false,1
34318336,328,1,2,false,?,c,764017,false,1
16881488,96,2,2,true,?,k,16864256,false,1
84706626,72,0,4,false,?,c,820545,false,1
34211840,36,0,3,false,?,k,16820304,false,1
34379264,144,0,4,false,?,c,34365952,false,1
17020752,296,1,2,false,?,c,750368,false,1
829829,800,2,1,false,?,b3,825426,false,1
16894304,24,0,2,false,?,k,16881216,false,1
17353616,548,2,2,true,?,k,17348896,false,1
34319360,144,0,4,false,?,c,834130,false,1
34100736,800,2,1,false,?,b3,17137920,false,1
16890208,800,1,2,false,?,c,746512,false,1
17479520,48,0,3,false,?,c,685618,false,1
16889968,800,1,2,false,?,k,554017,false,1
833925,164,1,1,false,?,c,820545,false,1
17348944,800,1,2,false,?,c,754992,false,1
16954672,24,0,2,false,?,k,16929552,false,1
34248448,144,0,4,false,?,c,17470208,false,1
17483600,164,1,1,false,?,c,828739,false,1
34383616,800,2,2,false,?,k,34383360,false,1
17418336,164,1,1,false,?,c,825376,false,1
16829056,800,2,2,false,?,k,16828464,false,1
